Link,Status,VideoId,Notes
https://www.instagram.com/reel/DbDONPuqtPI/,published,video-014,
https://www.instagram.com/reel/DbA3YBGhN28/,published,video-015,
https://www.instagram.com/reel/DbCzv1Osydt/,published,video-016,
https://www.instagram.com/reel/DbA-q1yPvUS/,published,video-017,
https://www.instagram.com/reel/DbBEYlFMMfP/,published,video-018,
https://www.instagram.com/reel/DbBuctosdQX/,published,video-019,
https://www.instagram.com/reel/DbBh8khsgTG/,ignored,,"Instagram: audience-restricted (""can't be seen by certain audiences""), not fetchable unauthenticated"
https://www.instagram.com/reel/DbBC5O5xF2Q/,published,video-020,
https://www.instagram.com/reel/DbCe1FBhSvY/,published,video-021,
https://www.instagram.com/reel/DbBG0Axzwko/,published,video-022,
https://www.instagram.com/reel/DbBUJw7iVYt/,published,video-094,
https://www.instagram.com/reel/DbAYv26SAe7/,published,video-023,
https://www.instagram.com/reel/DbBmezMvMaa/,published,video-024,
https://www.instagram.com/reel/DbBXoPjzpkM/,published,video-095,
https://www.instagram.com/reel/DbB0Q_wSr7z/,published,video-025,
https://www.instagram.com/reel/DbA5n_HMyk7/,published,video-026,
https://www.instagram.com/reel/DbA-sn3Onoq/,published,video-027,
https://www.instagram.com/reel/DbBboUuoLtI/,published,video-028,
https://www.instagram.com/reel/DbCOYnuvgyp/,published,video-029,
https://www.instagram.com/reel/DbBDQeGJ8sJ/,published,video-030,
https://www.instagram.com/reel/DbBCu43pd3y/,published,video-096,
https://www.instagram.com/reel/DbA48irypHJ/,published,video-031,
https://www.instagram.com/reel/DbBFHzMTdNC/,published,video-032,
https://www.instagram.com/reel/DbA-o-2TRmK/,published,video-033,
https://www.instagram.com/reel/DbDHeg6saHr/,published,video-034,
https://www.instagram.com/reel/DbB39UfiDNO/,published,video-035,
https://www.instagram.com/reel/DbAr2CigXNv/,published,video-036,
https://www.instagram.com/reel/DbAx8ZhPh0s/,ignored,,"Instagram: audience-restricted (""can't be seen by certain audiences""), not fetchable unauthenticated"
https://www.instagram.com/reel/DbBDYVCgQ8G/,ignored,,"Instagram: audience-restricted (""can't be seen by certain audiences""), not fetchable unauthenticated"
https://www.instagram.com/reel/DbA1yudRaOI/,published,video-037,
https://www.instagram.com/reel/DbArezgshTC/,published,video-097,
https://www.instagram.com/reel/DbAobz2OYT3/,published,video-098,
https://www.instagram.com/reel/DbAZXnzzrvm/,published,video-038,
https://www.instagram.com/reel/DbAWOICu6gZ/,published,video-039,
https://www.instagram.com/p/DbBnk3Ok9jv/,ignored,,"Instagram: audience-restricted (""can't be seen by certain audiences""), not fetchable unauthenticated"
https://www.instagram.com/reel/DbC3KaFTd8Y/,published,video-040,
https://www.instagram.com/reel/DbBNVYmzjlv/,published,video-041,
https://www.instagram.com/reel/DbC6C2NNI1-/,published,video-042,
https://www.instagram.com/reel/DbBrSetzrRn/,published,video-043,
https://www.instagram.com/reel/DbDD44CBypK/,published,video-044,
https://www.instagram.com/reel/DbDQjPLMbBV/,published,video-045,
https://www.instagram.com/reel/DbDgeYcSAV_/,published,video-046,
https://www.instagram.com/reel/DbCqMBoMC2A/,published,video-047,
https://www.instagram.com/reel/DbBNW1wvKAE/,published,video-048,
https://www.instagram.com/reel/DbCx9JJPMO4/,published,video-049,
https://www.instagram.com/reel/DbBpB9bRJKK/,published,video-050,
https://www.instagram.com/reel/DbBjy4Hz9HA/,published,video-051,
https://www.instagram.com/reel/DbDJYO_xEoI/,published,video-052,
https://www.instagram.com/reel/DbBWIndMXO8/,published,video-053,
https://www.instagram.com/reel/DbCpN6oKSZL/,published,video-054,
https://www.instagram.com/reel/DbDUgM8TpCi/,published,video-055,
https://www.instagram.com/reel/DbCYBG2v0cQ/,ignored,,"Command failed: yt-dlp --dump-json --no-playlist https://www.instagram.com/reel/DbCYBG2v0cQ/ | ERROR: [Instagram] DbCYBG2v0cQ: Instagram sent an empty media response. Check if this post is accessible in your browser without being logged-in. If it is not, then use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Otherwise, if the post is accessible in browser without being logged-in, please report this issue on  https://github.com/yt-dlp/yt-dlp/issues?q= , filling out the appropriate issue template. Confirm you are on the latest version using  yt-dlp -U (skipped via admin-tui)"
https://www.instagram.com/reel/Dajv5oEMiuJ/,ignored,,"Out of scope: July 9 2026 commentary about Uttar Pradesh Police / Yogi Adityanath, filmed indoors, unrelated to the July 20 protest (uploader's own caption + pre-dated upload confirm this)"
https://www.instagram.com/reel/DbA_21QNZgC/,published,video-056,
